[0.008s][info][gc,init] CardTable entry size: 512
[0.008s][info][gc     ] Using G1
[0.016s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.016s][info][gc,init] CPUs: 12 total, 12 available
[0.016s][info][gc,init] Memory: 16263M
[0.016s][info][gc,init] Large Page Support: Disabled
[0.016s][info][gc,init] NUMA Support: Disabled
[0.016s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.016s][info][gc,init] Heap Region Size: 2M
[0.016s][info][gc,init] Heap Min Capacity: 2G
[0.016s][info][gc,init] Heap Initial Capacity: 2G
[0.016s][info][gc,init] Heap Max Capacity: 4G
[0.016s][info][gc,init] Pre-touch: Disabled
[0.016s][info][gc,init] Parallel Workers: 10
[0.016s][info][gc,init] Concurrent Workers: 3
[0.016s][info][gc,init] Concurrent Refinement Workers: 10
[0.016s][info][gc,init] Periodic GC: Disabled
[0.025s][info][gc,metaspace] CDS archive(s) mapped at: [0x000001cdcf000000-0x000001cdcfc90000-0x000001cdcfc90000), size 13172736, SharedBaseAddress: 0x000001cdcf000000, ArchiveRelocationMode: 1.
[0.025s][info][gc,metaspace] Compressed class space mapped at: 0x000001cdd0000000-0x000001ce10000000, reserved size: 1073741824
[0.025s][info][gc,metaspace] Narrow klass base: 0x000001cdcf000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.458s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.459s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.463s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.3ms
[0.464s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.2ms
[0.464s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 3.5ms
[0.464s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.7ms
[0.464s][info][gc,phases   ] GC(0)   Other: 0.9ms
[0.464s][info][gc,heap     ] GC(0) Eden regions: 51->0(44)
[0.464s][info][gc,heap     ] GC(0) Survivor regions: 0->7(7)
[0.464s][info][gc,heap     ] GC(0) Old regions: 0->4
[0.464s][info][gc,heap     ] GC(0) Humongous regions: 1->0
[0.464s][info][gc,metaspace] GC(0) Metaspace: 1294K(1472K)->1294K(1472K) NonClass: 1198K(1280K)->1198K(1280K) Class: 96K(192K)->96K(192K)
[0.464s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 104M->21M(2048M) 5.896ms
[0.464s][info][gc,cpu      ] GC(0) User=0.00s Sys=0.02s Real=0.01s
[0.635s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.635s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[0.641s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.3ms
[0.641s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[0.641s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 4.2ms
[0.641s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.7ms
[0.641s][info][gc,phases   ] GC(1)   Other: 0.1ms
[0.641s][info][gc,heap     ] GC(1) Eden regions: 44->0(44)
[0.641s][info][gc,heap     ] GC(1) Survivor regions: 7->7(7)
[0.641s][info][gc,heap     ] GC(1) Old regions: 4->12
[0.641s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[0.641s][info][gc,metaspace] GC(1) Metaspace: 1296K(1472K)->1296K(1472K) NonClass: 1200K(1280K)->1200K(1280K) Class: 96K(192K)->96K(192K)
[0.641s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 109M->37M(2048M) 5.609ms
[0.641s][info][gc,cpu      ] GC(1) User=0.00s Sys=0.00s Real=0.01s
[0.703s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[0.703s][info][gc,task     ] GC(2) Using 10 workers of 10 for evacuation
[0.708s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.3ms
[0.708s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.2ms
[0.708s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 4.1ms
[0.708s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.4ms
[0.708s][info][gc,phases   ] GC(2)   Other: 0.1ms
[0.708s][info][gc,heap     ] GC(2) Eden regions: 44->0(44)
[0.708s][info][gc,heap     ] GC(2) Survivor regions: 7->7(7)
[0.708s][info][gc,heap     ] GC(2) Old regions: 12->21
[0.708s][info][gc,heap     ] GC(2) Humongous regions: 0->0
[0.708s][info][gc,metaspace] GC(2) Metaspace: 1297K(1472K)->1297K(1472K) NonClass: 1201K(1280K)->1201K(1280K) Class: 96K(192K)->96K(192K)
