[0.007s][info][gc,heap] Heap region size: 1M
[0.022s][info][gc     ] Using G1
[0.022s][info][gc,heap,coops] Heap address: 0x0000000700000000, size: 4096 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[0.322s][info][gc,start     ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.323s][info][gc,task      ] GC(0) Using 13 workers of 13 for evacuation
[0.325s][info][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.0ms
[0.325s][info][gc,phases    ] GC(0)   Evacuate Collection Set: 1.7ms
[0.325s][info][gc,phases    ] GC(0)   Post Evacuate Collection Set: 0.2ms
[0.325s][info][gc,phases    ] GC(0)   Other: 0.6ms
[0.325s][info][gc,heap      ] GC(0) Eden regions: 102->0(89)
[0.325s][info][gc,heap      ] GC(0) Survivor regions: 0->13(13)
[0.325s][info][gc,heap      ] GC(0) Old regions: 0->8
[0.325s][info][gc,heap      ] GC(0) Humongous regions: 16->3
[0.326s][info][gc,metaspace ] GC(0) Metaspace: 6870K(7168K)->6870K(7168K) NonClass: 6280K(6400K)->6280K(6400K) Class: 589K(768K)->589K(768K)
[0.326s][info][gc           ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 118M->23M(2048M) 3.077ms
[0.326s][info][gc,cpu       ] GC(0) User=0.00s Sys=0.00s Real=0.00s
[0.399s][info][gc,start     ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.399s][info][gc,task      ] GC(1) Using 13 workers of 13 for evacuation
[0.402s][info][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.0ms
[0.402s][info][gc,phases    ] GC(1)   Evacuate Collection Set: 2.1ms
[0.402s][info][gc,phases    ] GC(1)   Post Evacuate Collection Set: 0.2ms
[0.402s][info][gc,phases    ] GC(1)   Other: 0.1ms
[0.402s][info][gc,heap      ] GC(1) Eden regions: 89->0(89)
[0.402s][info][gc,heap      ] GC(1) Survivor regions: 13->13(13)
[0.402s][info][gc,heap      ] GC(1) Old regions: 8->27
