[0.006s][info][gc,heap] Heap region size: 1M
[0.021s][info][gc     ] Using G1
[0.021s][info][gc,heap,coops] Heap address: 0x0000000700000000, size: 4096 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[0.319s][info][gc,start     ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.320s][info][gc,task      ] GC(0) Using 13 workers of 13 for evacuation
[0.322s][info][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.0ms
[0.322s][info][gc,phases    ] GC(0)   Evacuate Collection Set: 2.1ms
[0.322s][info][gc,phases    ] GC(0)   Post Evacuate Collection Set: 0.2ms
[0.322s][info][gc,phases    ] GC(0)   Other: 1.3ms
[0.322s][info][gc,heap      ] GC(0) Eden regions: 102->0(97)
[0.322s][info][gc,heap      ] GC(0) Survivor regions: 0->6(13)
[0.323s][info][gc,heap      ] GC(0) Old regions: 0->0
[0.323s][info][gc,heap      ] GC(0) Humongous regions: 3->1
[0.323s][info][gc,metaspace ] GC(0) Metaspace: 7292K(7680K)->7292K(7680K) NonClass: 6653K(6912K)->6653K(6912K) Class: 638K(768K)->638K(768K)
[0.323s][info][gc           ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 105M->6M(2048M) 4.221ms
[0.323s][info][gc,cpu       ] GC(0) User=0.00s Sys=0.00s Real=0.00s
[0.434s][info][gc,start     ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.434s][info][gc,task      ] GC(1) Using 13 workers of 13 for evacuation
[0.436s][info][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.0ms
[0.436s][info][gc,phases    ] GC(1)   Evacuate Collection Set: 2.0ms
[0.436s][info][gc,phases    ] GC(1)   Post Evacuate Collection Set: 0.2ms
[0.436s][info][gc,phases    ] GC(1)   Other: 0.1ms
[0.436s][info][gc,heap      ] GC(1) Eden regions: 97->0(121)
[0.436s][info][gc,heap      ] GC(1) Survivor regions: 6->10(13)
[0.436s][info][gc,heap      ] GC(1) Old regions: 0->0
[0.436s][info][gc,heap      ] GC(1) Humongous regions: 5->1
