[0.010s][info][gc,init] CardTable entry size: 512
[0.011s][info][gc     ] Using G1
[0.018s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.018s][info][gc,init] CPUs: 12 total, 12 available
[0.018s][info][gc,init] Memory: 16263M
[0.018s][info][gc,init] Large Page Support: Disabled
[0.018s][info][gc,init] NUMA Support: Disabled
[0.018s][info][gc,init] Compressed Oops: Enabled (32-bit)
[0.018s][info][gc,init] Heap Region Size: 1M
[0.018s][info][gc,init] Heap Min Capacity: 1G
[0.018s][info][gc,init] Heap Initial Capacity: 1G
[0.018s][info][gc,init] Heap Max Capacity: 2G
[0.018s][info][gc,init] Pre-touch: Disabled
[0.018s][info][gc,init] Parallel Workers: 10
[0.018s][info][gc,init] Concurrent Workers: 3
[0.018s][info][gc,init] Concurrent Refinement Workers: 10
[0.018s][info][gc,init] Periodic GC: Disabled
[0.027s][info][gc,metaspace] CDS archive(s) mapped at: [0x00000253a8000000-0x00000253a8c90000-0x00000253a8c90000), size 13172736, SharedBaseAddress: 0x00000253a8000000, ArchiveRelocationMode: 1.
[0.027s][info][gc,metaspace] Compressed class space mapped at: 0x00000253a9000000-0x00000253e9000000, reserved size: 1073741824
[0.027s][info][gc,metaspace] Narrow klass base: 0x00000253a8000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.252s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.254s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.258s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[0.258s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[0.258s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 3.0ms
[0.258s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.4ms
[0.258s][info][gc,phases   ] GC(0)   Other: 1.7ms
[0.258s][info][gc,heap     ] GC(0) Eden regions: 51->0(58)
[0.258s][info][gc,heap     ] GC(0) Survivor regions: 0->5(7)
[0.258s][info][gc,heap     ] GC(0) Old regions: 0->0
[0.258s][info][gc,heap     ] GC(0) Humongous regions: 1->1
[0.258s][info][gc,metaspace] GC(0) Metaspace: 1650K(1728K)->1650K(1728K) NonClass: 1511K(1536K)->1511K(1536K) Class: 139K(192K)->139K(192K)
[0.258s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 52M->5M(1024M) 5.864ms
[0.258s][info][gc,cpu      ] GC(0) User=0.02s Sys=0.00s Real=0.01s
[0.295s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.295s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[0.297s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.1ms
[0.297s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[0.297s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 1.4ms
[0.297s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.3ms
[0.297s][info][gc,phases   ] GC(1)   Other: 0.1ms
[0.297s][info][gc,heap     ] GC(1) Eden regions: 58->0(611)
[0.297s][info][gc,heap     ] GC(1) Survivor regions: 5->3(8)
[0.297s][info][gc,heap     ] GC(1) Old regions: 0->5
[0.297s][info][gc,heap     ] GC(1) Humongous regions: 2->0
