[0.006s][info][gc,heap] Heap region size: 1M
[0.021s][info][gc     ] Using G1
[0.021s][info][gc,heap,coops] Heap address: 0x0000000700000000, size: 4096 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[0.254s][info][gc,start     ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.255s][info][gc,task      ] GC(0) Using 13 workers of 13 for evacuation
[0.257s][info][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.0ms
[0.257s][info][gc,phases    ] GC(0)   Evacuate Collection Set: 1.8ms
[0.257s][info][gc,phases    ] GC(0)   Post Evacuate Collection Set: 0.2ms
[0.257s][info][gc,phases    ] GC(0)   Other: 1.0ms
[0.257s][info][gc,heap      ] GC(0) Eden regions: 102->0(91)
[0.257s][info][gc,heap      ] GC(0) Survivor regions: 0->11(13)
[0.258s][info][gc,heap      ] GC(0) Old regions: 0->0
[0.258s][info][gc,heap      ] GC(0) Humongous regions: 3->0
[0.258s][info][gc,metaspace ] GC(0) Metaspace: 8111K(8576K)->8111K(8576K) NonClass: 7385K(7680K)->7385K(7680K) Class: 726K(896K)->726K(896K)
[0.258s][info][gc           ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 105M->10M(2048M) 3.882ms
[0.258s][info][gc,cpu       ] GC(0) User=0.00s Sys=0.00s Real=0.00s
[0.276s][info][gc,start     ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.276s][info][gc,task      ] GC(1) Using 13 workers of 13 for evacuation
[0.277s][info][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.0ms
[0.277s][info][gc,phases    ] GC(1)   Evacuate Collection Set: 1.3ms
[0.277s][info][gc,phases    ] GC(1)   Post Evacuate Collection Set: 0.1ms
[0.277s][info][gc,phases    ] GC(1)   Other: 0.1ms
[0.277s][info][gc,heap      ] GC(1) Eden regions: 91->0(397)
[0.277s][info][gc,heap      ] GC(1) Survivor regions: 11->2(13)
[0.277s][info][gc,heap      ] GC(1) Old regions: 0->10
[0.277s][info][gc,heap      ] GC(1) Humongous regions: 0->0
